140311_1026	1	subjects	Period	Subject	Group	Profit	TotalProfit	Participate	AChoice[1]	AChoice[2]	AChoice[3]	AChoice[4]	AChoice[5]	AChoice[6]	AChoice[7]	BChoice1[1]	BChoice1[2]	BChoice1[3]	BChoice1[4]	BChoice1[5]	BChoice1[6]	BChoice1[7]	BChoice1[8]	BChoice2[1]	BChoice2[2]	BChoice2[3]	BChoice2[4]	BChoice2[5]	BChoice2[6]	BChoice2[7]	BChoice2[8]	BChoice3[1]	BChoice3[2]	BChoice3[3]	BChoice3[4]	BChoice3[5]	BChoice3[6]	BChoice3[7]	BChoice3[8]	ug_self	ug_other	ug_accept[1]	ug_accept[2]	ug_accept[3]	ug_accept[4]	ug_accept[5]	ug_accept[6]	guess	guessBrackets[1]	guessBrackets[2]	guessBrackets[3]	guessBrackets[4]	guessBrackets[5]	brackets[1]	brackets[2]	brackets[3]	brackets[4]	brackets[5]	prog_rand	prog_randpunisher	prog_rand2	prog_rank	role	subrole	prog_rank2	ugRole	ugGroup	prog_role	prog_subrole	prog_punisher	prog_A1_choice	prog_A2_choice	prog_A3_choice	prog_decision_num	stage1Profit	stage2bProfit	stage2aProfit	stage3Profit	stage4Profit	gamble[1]	gamble[2]	gamble[3]	gamble[4]	gamble[5]	risk_choice	risk_location	circle_random	perturbation_multiplier	perturb[1]	perturb[2]	perturb[3]	perturb[4]	show_results	winner	show_error	click_x	click_y	prog_show_A	prog_showContinue	test	test2	test3	TimeAllocation2555555Stage1OK	TimeAllocation1999111Stage1OK	TimeContinueStage1OK	TimeOKStage1OK	TimeAllocation2555555Stage2OK	TimeAllocation1999111Stage2OK	TimeContinueStage2OK	TimeOKStage2OK	TimeAllocation2555555Stage3OK	TimeAllocation1999111Stage3OK	TimeContinueStage3OK	TimeOKStage3OK	TimeAllocation2555555Stage4OK	TimeAllocation1999111Stage4OK	TimeContinueStage4OK	TimeOKStage4OK	TimeAllocation2555555Stage5OK	TimeAllocation1999111Stage5OK	TimeContinueStage5OK	TimeOKStage5OK	TimeAllocation2555555Stage6OK	TimeAllocation1999111Stage6OK	TimeContinueStage6OK	TimeOKStage6OK	TimeAllocation2555555Stage7OK	TimeAllocation1999111Stage7OK	TimeContinueStage7OK	TimeOKStage7OK	TimeAllocation2555555Stage8OK	TimeAllocation1999111Stage8OK	TimeContinueStage8OK	TimeOKStage8OK	groupBeautyContest	TimeContinueBCGameOK	sumGuessPercentage	true	false	displayContinueButton	TimeSubmitBCInstructionsOK	TimeContinueBCInstructionsOK	distance	BC_winner	diffBrackets	TimeOKUGGame1OK	TimeOKUGGame2OK	TimeOKEGTaskOK	results_A1Choice	results_A2Choice	results_A3Choice	results_A1Punishment	results_A2Punishment	results_A3Punishment	prog_ug_t1	prog_ug_t2	prog_ug_accepted	TimeOKResultsOK	
140312_1036	1	subjects	1	3	2	26	26	1	1	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	0	0	1	1	1	1	12	15	20	20	30	15	75	17	8	0	0	0.7848626276407682	1	0.1861827583919199	8	1	1	3	2	2	1	3	2	-1	-1	-1	8	9	0	0	0	8	2	1	5	4	3	4	4	1	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	-33	-8	0	0	-1	9	0	0	-1	11	0	0	0	14	0	0	-9	14	0	0	-11	14	0	10	0	15	0	-	-	0	0	1	-13	100	1	0	0	-50	-56	3.208372386795891	0	120	-84	-26	-32	1	1	1	0	0	0	4	1	0	-39	
140312_1036	1	subjects	1	4	1	16.8	16.8	1	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	0	1	1	1	1	1	17	28	58	10	2	2	75	17	8	0	0	0.6479333302229332	2	0.3569358672746159	6	1	3	5	2	3	1	3	1	-1	-1	-1	8	5	0	0	2	4.800000000000001	5	4	2	3	1	2	3	3	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	-10	0	-8	0	13	0	14	0	12	0	13	0	11	0	13	0	12	0	13	0	12	0	14	0	13	0	14	0	-	-	0	0	1	-12	100	1	0	0	-107	-109	8.208339824751148	0	94	-97	-29	-12	2	1	2	0	0	0	3	2	1	-29	
140312_1036	1	subjects	1	5	1	13	13	1	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	1	1	1	1	1	1	23	20	20	20	20	20	75	17	8	0	0	0.09083074428645463	2	0.4386205246851875	2	1	1	6	1	3	1	3	1	-1	-1	-1	8	5	0	0	3	0	5	4	2	3	1	5	1	3	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	-23	0	-17	0	-1	0	10	0	10	0	12	0	5	0	11	0	0	0	10	0	8	0	14	0	8	0	13	0	-	-	0	0	1	-10	100	1	0	0	-8	-10	14.20840487852974	0	110	-70	-37	-26	2	1	2	0	0	0	3	2	1	-59	
140312_1036	1	subjects	1	6	2	9.800000000000001	9.800000000000001	1	-1	-1	-1	-1	-1	-1	-1	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	4	0	0	0	0	3	2	0	0	0	1	1	1	19	5	40	30	20	5	75	17	8	0	0	0.9763723993563896	3	0.984931196544753	11	2	3	12	1	6	2	3	2	2	2	2	9	1	0	0	3	4.800000000000001	4	3	1	2	5	2	4	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-32	-69	0	0	-8	-31	0	0	0	-17	0	0	1	-30	0	0	7	0	0	0	9	1	0	0	9	3	-	-	9	2	1	-8	100	1	0	0	-88	-94	10.20833354949992	0	140	-60	-88	-35	1	1	1	0	0	0	3	2	1	-39	
140312_1036	1	subjects	1	7	1	22.6	22.6	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	1	1	1	1	13	20	50	30	0	0	75	17	8	0	0	0.3509671615208346	2	0.8909159828400779	4	1	2	10	1	5	1	3	1	-1	-1	-1	8	5	0	0	3	9.600000000000001	2	1	5	4	3	5	3	1	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	0	8	0	0	10	12	0	0	-15	12	0	0	11	13	0	0	12	14	0	0	12	14	0	0	7	13	0	-	-	0	0	1	-53	100	1	0	0	-99	-103	4.208359066671596	0	110	-74	-64	-40	2	1	2	0	0	0	3	2	1	-28	
140312_1036	1	subjects	1	8	2	18	18	1	1	1	1	1	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	0	1	1	1	1	1	13	40	40	10	10	0	75	17	8	0	0	0.9918470471128109	2	0.3272706979547025	12	1	3	4	1	2	1	3	2	-1	-1	-1	8	9	0	0	0	0	3	5	4	1	2	5	2	0	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	0	10	12	0	0	9	13	0	0	8	12	0	0	11	14	0	0	9	15	0	0	6	9	0	12	0	14	0	-	-	0	0	1	-109	100	1	0	0	-52	-53	4.208355864637527	0	70	-55	-44	-48	1	1	1	0	0	0	4	1	0	-24	
140312_1036	1	subjects	1	9	1	21.6	21.6	1	-1	-1	-1	-1	-1	-1	-1	2	4	3	0	0	0	0	0	3	3	0	4	0	0	0	0	2	0	4	3	0	0	5	0	3	2	0	0	1	1	1	1	5	20	20	20	20	20	75	17	8	0	0	0.3531012266655924	1	0.8470599371227715	5	2	3	9	2	5	2	3	1	2	2	2	9	5	0	0	2	9.600000000000001	2	1	5	4	3	5	3	1	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-13	-31	0	0	11	-12	0	0	9	2	0	0	12	6	0	0	12	8	0	0	12	9	0	0	12	8	-	-	12	7	1	20	100	1	0	0	20	18	3.791670293107972	0	110	-4	-7	24	2	1	2	0	0	0	3	2	1	-48	
140312_1036	1	subjects	1	10	2	19.6	19.6	1	1	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	0	1	1	1	1	1	37	15	20	30	20	15	75	17	8	0	0	0.9733208250130158	2	0.02816391784146611	10	1	2	2	1	1	1	3	2	-1	-1	-1	8	9	0	0	0	1.6	2	1	5	4	3	3	5	1	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	0	1	10	0	0	6	11	0	0	9	12	0	11	0	14	0	0	12	14	0	0	12	14	0	13	0	15	0	-	-	0	0	1	-44	100	1	0	0	-58	-82	28.20840243956947	0	120	-52	-35	-12	1	1	1	0	0	0	5	0	0	-30	
140312_1036	1	subjects	1	11	1	13.2	13.2	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	1	0	90	0	0	0	10	75	17	8	0	0	0.08947372300991496	1	0.01495254366423588	1	2	1	1	2	1	2	3	1	2	2	2	9	5	0	0	0	3.2	3	5	4	1	2	1	4	0	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-34	-57	0	0	2	-5	0	0	3	-2	0	0	5	2	0	0	-9	-14	0	0	0	-11	0	0	4	0	-	-	10	7	1	-37	100	1	0	0	-16	-18	8.79167162334157	0	50	-70	-51	-27	2	1	2	0	0	0	5	0	0	-70	
140312_1036	1	subjects	1	12	2	7.2	7.2	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	1	1	1	14	30	40	25	5	0	75	17	8	0	0	0.7134121086976547	2	0.7901222928381163	7	2	1	7	2	4	2	3	2	2	2	2	9	1	0	0	2	3.2	5	4	2	3	1	1	5	3	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-14	-22	0	0	12	7	0	0	9	-1	0	0	10	2	0	0	10	-1	0	0	10	3	0	0	11	5	-	-	11	5	1	-10	100	1	0	0	-85	-93	5.208344871434187	0	90	-72	-44	-40	1	1	1	0	0	0	3	2	1	-39	
140312_1408	1	subjects	1	1	1	19.6	19.6	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	1	1	1	28	10	15	30	25	20	21	38	25	13	4	0.092252196	3	0.711854705	3	2	2	18	1	9	2	3	2	2	2	2	9	5	0	0	0	9.6	5	4	2	3	1	5	1	3	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-6	-20	0	0	-11	-19	0	0	6	-1	0	0	7	0	0	0	9	3	0	0	-8	-15	0	0	-4	-11	0	0	12	5	1	-14	100	1	0	0	-108	-110	9.645906808	0	67	-42	-49	-51	2	1	2	0	0	0	5	0	0	-69	0
140312_1408	1	subjects	1	2	4	5	5	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	1	1	56	20	20	20	20	20	21	38	25	13	4	0.713215638	1	0.513920023	19	2	1	14	1	7	2	3	1	2	2	2	9	1	0	0	3	0	2	1	5	4	3	5	3	1	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	5	1	0	0	10	6	0	0	10	5	0	0	7	4	0	0	12	8	0	0	9	5	0	-	11	7	-	-	12	9	1	16	100	1	0	0	-8	-15	37.64588055	0	47	-32	-10	0	1	2	1	0	0	0	3	2	1	-16	0
140312_1408	1	subjects	1	3	3	3.8	3.8	1	-1	-1	-1	-1	-1	-1	-1	3	4	4	0	5	0	0	0	2	3	0	3	0	5	0	0	2	0	3	4	0	0	5	0	3	2	0	0	1	1	0	0	73	20	20	10	30	20	21	38	25	13	4	0.560563902	1	0.775910376	17	2	3	20	1	10	2	3	3	2	2	2	9	0	0	0	3	0.8	5	4	2	3	1	4	2	3	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-4	-16	0	0	8	2	0	0	6	-2	0	0	9	4	0	0	9	-5	0	0	5	-2	0	-	10	5	-	-	11	8	1	6	100	1	0	0	-40	-45	54.64592688	0	67	-32	-22	-18	1	1	2	4	3	0	3	2	1	-43	0
140312_1408	1	subjects	1	4	1	18.4	18.4	1	2	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	0	1	1	1	1	1	25	25	25	10	15	25	21	38	25	13	4	0.080853023	2	0.064338416	2	1	1	3	2	2	1	3	2	-1	-1	-1	8	5	0	0	2	6.4	3	5	4	1	2	3	1	0	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	-8	0	-5	0	0	6	13	0	0	7	10	0	6	0	12	0	0	10	15	0	0	8	12	0	11	-	14	0	-	-	0	0	1	-5	100	1	0	0	-38	-40	6.645872076	0	55	-58	-20	-26	2	1	2	0	0	0	3	2	1	-36	0
140312_1408	1	subjects	1	5	4	8.8	8.8	1	-1	-1	-1	-1	-1	-1	-1	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	1	3	2	0	0	1	1	0	0	70	10	20	40	20	10	21	38	25	13	4	0.797095737	1	0.725689451	21	2	2	19	2	10	2	3	1	2	2	2	9	1	0	0	2	4.8	4	3	1	2	5	2	4	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	3	0	0	-11	-22	0	0	9	2	0	0	10	-6	0	0	9	-2	0	0	8	3	0	0	9	0	0	-	6	-7	-	-	11	3	1	-45	100	1	0	0	-76	-78	51.64584523	0	57	-92	-84	-29	1	2	1	0	0	0	3	2	1	-57	0
140312_1408	1	subjects	1	6	3	10.8	10.8	1	-1	-1	-1	-1	-1	-1	-1	5	5	4	0	5	0	0	0	1	1	1	4	0	5	0	0	1	0	2	3	0	0	4	0	4	1	0	1	1	1	1	1	35	5	20	20	30	25	21	38	25	13	4	0.453832365	3	0.836145834	13	2	1	22	1	11	2	3	3	2	2	2	9	1	0	0	4	4.8	2	1	5	4	3	2	1	1	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-16	-35	0	0	9	-4	0	0	-2	-24	0	0	9	-5	0	0	11	4	0	0	9	-9	0	-	12	5	-	-	10	5	1	-33	100	1	0	0	-38	-40	16.64583672	0	77	-31	-37	-27	1	1	2	4	3	0	4	1	1	-103	0
140312_1408	1	subjects	1	7	4	30.6	30.6	1	2	2	2	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	1	1	1	1	10	90	10	0	0	0	21	38	25	13	4	0.982649893	3	0.049101112	24	1	3	2	1	1	1	3	1	-1	-1	-1	8	9	0	0	3	9.6	2	1	5	4	3	5	3	1	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	-15	0	-9	0	8	0	14	0	13	0	15	0	11	0	14	0	0	10	15	0	0	12	15	0	10	-	15	0	-	-	0	0	1	-30	100	1	0	0	-80	-82	8.354242407	0	139	-49	-12	-41	1	2	1	0	0	0	3	2	1	-21	0
140312_1408	1	subjects	1	8	4	13	13	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	1	1	8	20	20	20	20	20	21	38	25	13	4	0.902524963	1	0.268949319	23	2	3	8	1	4	2	3	1	2	2	2	9	1	0	0	3	8	2	1	5	4	3	4	4	1	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	7	-4	0	0	11	6	0	0	10	5	0	0	9	5	0	0	11	6	0	0	9	4	0	-	12	8	-	-	11	7	1	4	100	1	0	0	2	-1	10.35419115	0	47	-35	-7	-7	1	2	1	0	0	0	3	2	1	-23	0
140312_1408	1	subjects	1	9	2	17.8	17.8	1	-1	-1	-1	-1	-1	-1	-1	3	4	4	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	3	0	0	0	0	0	3	2	0	1	1	1	1	1	50	5	25	35	25	10	21	38	25	13	4	0.297622365	3	0.571719922	9	2	2	16	1	8	2	3	1	2	2	2	9	5	0	0	3	4.8	3	5	4	1	2	2	5	0	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-44	-75	0	0	2	-11	0	0	5	-12	0	0	6	-2	0	0	10	3	0	0	4	-2	0	-	6	0	-	-	6	1	1	-10	100	1	0	0	-105	-112	31.64585142	0	57	-46	-43	-39	2	2	2	0	0	0	3	2	1	-50	0
140312_1408	1	subjects	1	10	3	22.4	22.4	1	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	1	1	1	1	1	1	24	10	80	5	5	0	21	38	25	13	4	0.63594369	1	0.018686412	18	1	3	1	2	1	1	3	3	-1	-1	-1	8	9	0	0	2	2.4	4	3	1	2	5	2	4	2	0	0	0	0	0	1	0	0	5.535714286	947.5	0	1	0	0	0	0	0	4	0	8	0	14	0	9	0	11	0	9	0	14	0	10	0	15	0	12	0	14	0	12	-	14	0	-	-	0	0	1	-212	100	1	0	0	-161	-163	5.645924877	0	85	-64	-28	-30	1	1	2	4	3	0	3	2	1	-130	-11
140312_1408	1	subjects	1	11	4	21	21	1	1	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	1	1	1	1	1	21	60	35	4	1	0	21	38	25	13	4	0.771003499	1	0.095954228	20	1	1	4	1	2	1	3	1	-1	-1	-1	8	9	0	0	3	0	2	1	5	4	3	5	3	1	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	0	6	10	0	0	8	12	0	0	9	11	0	12	0	14	0	0	11	15	0	0	12	13	0	12	-	14	0	-	-	0	0	1	-10	100	1	0	0	-38	-41	2.64592273	0	79	-35	-6	-19	1	2	1	0	0	0	3	2	1	-29	0
140312_1408	1	subjects	1	12	4	23.2	23.2	1	2	2	2	1	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	0	0	1	1	0	0	50	0	15	50	10	25	21	38	25	13	4	0.857479116	3	0.359272781	22	1	2	11	2	6	1	3	1	-1	-1	-1	8	9	0	0	2	3.2	4	3	1	2	5	1	3	2	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	-25	0	-21	0	2	0	8	0	0	0	10	0	0	-4	12	0	-1	0	6	0	1	0	12	0	9	-	12	0	-	-	0	0	1	-16	100	1	0	0	-104	-106	31.64583791	0	93	-97	-54	-10	1	2	1	0	0	0	3	2	1	-49	0
140312_1408	1	subjects	1	13	2	20	20	1	1	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	0	0	1	1	1	1	70	5	10	30	40	15	21	38	25	13	4	0.374614287	1	0.568046039	12	1	3	15	2	8	1	3	1	-1	-1	-1	8	5	0	0	2	8	4	3	1	2	5	4	1	2	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	8	11	0	0	8	14	0	0	10	14	0	12	0	14	0	0	15	15	0	0	12	15	0	13	-	15	0	-	-	0	0	1	-22	100	1	0	0	-28	-29	51.6459142	0	87	-83	-33	-70	2	2	2	0	0	0	3	2	1	-38	0
140312_1408	1	subjects	1	14	1	17.4	17.4	1	1	2	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	1	1	1	1	1	26	10	20	40	20	10	21	38	25	13	4	0.134331917	1	0.813180237	4	1	2	21	2	11	1	3	2	-1	-1	-1	8	5	0	0	1	6.4	4	3	1	2	5	3	2	2	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	4	7	0	10	0	14	0	0	-3	14	0	6	0	14	0	0	8	11	0	0	7	12	0	9	-	12	0	-	-	0	0	1	-41	100	1	0	0	-24	-26	7.645905978	0	57	-30	-18	-16	2	1	2	0	0	0	4	1	1	-20	0
140312_1408	1	subjects	1	15	3	6.4	6.4	1	-1	-1	-1	-1	-1	-1	-1	3	4	4	0	0	0	0	0	2	3	0	4	0	0	0	0	2	0	3	3	0	0	0	0	3	2	0	1	1	1	1	1	47	20	20	20	20	20	21	38	25	13	4	0.510092694	1	0.304280873	15	2	2	9	2	5	2	3	3	2	2	2	9	1	0	0	2	2.4	3	5	4	1	2	2	5	0	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-2	-8	0	0	6	-2	0	0	7	3	0	0	6	2	0	0	7	4	0	0	10	6	0	-	10	6	-	-	10	6	1	-14	100	1	0	0	-11	-13	28.64590562	0	47	-44	-9	-33	1	1	2	4	3	0	3	2	1	-40	0
140312_1408	1	subjects	1	16	1	16.2	16.2	1	-1	-1	-1	-1	-1	-1	-1	2	3	3	1	0	0	0	0	2	3	1	3	0	0	0	0	1	1	3	3	0	0	0	0	3	2	0	0	1	1	1	1	86	20	20	20	20	20	21	38	25	13	4	0.048625762	2	0.243842979	1	2	1	6	1	3	2	3	2	2	2	2	9	5	0	0	3	3.2	4	3	1	2	5	1	3	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	4	-10	0	0	10	-3	0	0	11	3	0	0	11	0	0	0	11	6	0	0	12	8	0	-	11	6	-	-	13	8	1	11	100	1	0	0	-48	-49	67.64586446	0	47	-31	-27	-7	2	1	2	0	0	0	3	2	1	-22	0
140312_1408	1	subjects	1	17	2	16.2	16.2	1	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	1	1	1	1	57	5	20	50	20	5	21	38	25	13	4	0.276214539	1	0.468384672	8	1	1	12	1	6	1	3	1	-1	-1	-1	8	5	0	0	3	3.2	3	5	4	1	2	1	4	0	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	7	0	12	0	10	0	13	0	11	0	13	0	12	0	14	0	12	0	15	0	12	0	15	0	12	-	14	0	-	-	0	0	1	1	100	1	0	0	-69	-73	38.64584797	0	67	-56	-23	-34	2	2	2	0	0	0	3	2	1	-52	0
140312_1408	1	subjects	1	18	3	12	12	1	2	1	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	0	1	1	1	1	1	8	40	50	10	0	0	21	38	25	13	4	0.55361902	1	0.604121237	16	1	2	17	2	9	1	3	3	-1	-1	-1	8	6	0	0	0	0	3	5	4	1	2	5	2	0	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	-2	0	2	0	0	4	13	0	8	0	10	0	6	0	14	0	6	0	15	0	5	0	14	0	10	-	13	0	-	-	0	0	1	-36	100	1	0	0	-41	-43	10.35424705	0	63	-58	-18	-6	1	1	2	4	3	0	5	0	0	-15	0
140312_1408	1	subjects	1	19	2	21.6	21.6	1	-1	-1	-1	-1	-1	-1	-1	7	5	5	0	5	0	0	0	0	2	0	7	0	5	0	0	0	0	2	0	0	0	5	0	4	1	0	1	1	1	1	1	28	10	30	40	10	10	21	38	25	13	4	0.257252094	1	0.120243094	7	2	1	5	2	3	2	3	1	2	2	2	9	5	0	0	2	9.6	4	3	1	2	5	5	5	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-14	-27	0	0	5	-41	0	0	9	2	0	0	6	-9	0	0	9	-17	0	0	7	-13	0	-	8	2	-	-	8	3	1	-10	100	1	0	0	-118	-119	9.645907501	0	43	-63	-23	-30	2	2	2	0	0	0	3	2	1	-47	0
140312_1408	1	subjects	1	20	2	13	13	1	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	1	1	1	1	1	9	30	60	10	0	0	21	38	25	13	4	0.337752542	3	0.883487297	10	1	2	24	1	12	1	3	1	-1	-1	-1	8	5	0	0	3	0	3	5	4	1	2	5	2	0	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	4	0	12	0	6	0	13	0	11	0	14	0	12	0	14	0	11	0	15	0	12	0	15	0	13	-	15	0	-	-	0	0	1	-1	100	1	0	0	-18	-19	9.354235437	0	63	-37	-14	-30	2	2	2	0	0	0	3	2	1	-23	0
140312_1408	1	subjects	1	21	1	12	12	1	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	1	1	1	1	8	71	17	10	1	1	21	38	25	13	4	0.253176315	1	0.877869892	6	1	3	23	2	12	1	3	2	-1	-1	-1	8	5	0	0	2	0	4	3	1	2	5	5	5	2	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	-4	0	4	0	9	0	13	0	10	0	14	0	12	0	14	0	12	0	15	0	13	0	15	0	12	-	15	0	-	-	0	0	1	-15	100	1	0	0	-48	-51	10.35423515	0	101	-30	-17	-10	2	1	2	0	0	0	3	2	1	-54	0
140312_1408	1	subjects	1	22	1	18	18	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	1	1	20	0	30	40	30	0	21	38	25	13	4	0.24434972	3	0.35399885	5	2	3	10	1	5	2	3	2	2	2	2	9	5	0	5	3	0	2	1	5	4	3	5	3	1	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-16	-31	0	0	-3	-17	0	0	10	6	0	0	12	6	0	0	11	6	0	0	12	7	0	-	4	-1	-	-	7	2	1	-15	100	1	0	0	-23	-31	1.645888512	1	65	-43	-25	-53	2	1	2	0	0	0	3	2	1	-44	0
140312_1408	1	subjects	1	23	2	15.2	15.2	1	-1	-1	-1	-1	-1	-1	-1	0	4	0	0	5	1	1	0	0	2	0	2	0	5	1	0	0	1	0	2	0	1	5	0	3	2	0	1	1	1	1	0	47	10	20	40	20	10	21	38	25	13	4	0.364110437	2	0.495886392	11	2	3	13	2	7	2	3	1	2	2	2	9	5	0	0	2	3.2	4	3	1	2	5	1	3	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-23	-34	0	0	5	-24	0	0	6	1	0	0	12	-1	0	0	2	-14	0	0	2	-8	0	-	3	-2	-	-	9	5	1	-1	100	1	0	0	-52	-54	28.64589521	0	57	-71	-38	-19	2	2	2	0	0	0	3	2	1	-43	0
