140311_1026	1	subjects	Period	Subject	Group	Profit	TotalProfit	Participate	AChoice[1]	AChoice[2]	AChoice[3]	AChoice[4]	AChoice[5]	AChoice[6]	AChoice[7]	BChoice1[1]	BChoice1[2]	BChoice1[3]	BChoice1[4]	BChoice1[5]	BChoice1[6]	BChoice1[7]	BChoice1[8]	BChoice2[1]	BChoice2[2]	BChoice2[3]	BChoice2[4]	BChoice2[5]	BChoice2[6]	BChoice2[7]	BChoice2[8]	BChoice3[1]	BChoice3[2]	BChoice3[3]	BChoice3[4]	BChoice3[5]	BChoice3[6]	BChoice3[7]	BChoice3[8]	ug_self	ug_other	ug_accept[1]	ug_accept[2]	ug_accept[3]	ug_accept[4]	ug_accept[5]	ug_accept[6]	guess	guessBrackets[1]	guessBrackets[2]	guessBrackets[3]	guessBrackets[4]	guessBrackets[5]	brackets[1]	brackets[2]	brackets[3]	brackets[4]	brackets[5]	prog_rand	prog_randpunisher	prog_rand2	prog_rank	role	subrole	prog_rank2	ugRole	ugGroup	prog_role	prog_subrole	prog_punisher	prog_A1_choice	prog_A2_choice	prog_A3_choice	prog_decision_num	stage1Profit	stage2bProfit	stage2aProfit	stage3Profit	stage4Profit	gamble[1]	gamble[2]	gamble[3]	gamble[4]	gamble[5]	risk_choice	risk_location	circle_random	perturbation_multiplier	perturb[1]	perturb[2]	perturb[3]	perturb[4]	show_results	winner	show_error	click_x	click_y	prog_show_A	prog_showContinue	test	test2	test3	TimeAllocation2555555Stage1OK	TimeAllocation1999111Stage1OK	TimeContinueStage1OK	TimeOKStage1OK	TimeAllocation2555555Stage2OK	TimeAllocation1999111Stage2OK	TimeContinueStage2OK	TimeOKStage2OK	TimeAllocation2555555Stage3OK	TimeAllocation1999111Stage3OK	TimeContinueStage3OK	TimeOKStage3OK	TimeAllocation2555555Stage4OK	TimeAllocation1999111Stage4OK	TimeContinueStage4OK	TimeOKStage4OK	TimeAllocation2555555Stage5OK	TimeAllocation1999111Stage5OK	TimeContinueStage5OK	TimeOKStage5OK	TimeAllocation2555555Stage6OK	TimeAllocation1999111Stage6OK	TimeContinueStage6OK	TimeOKStage6OK	TimeAllocation2555555Stage7OK	TimeAllocation1999111Stage7OK	TimeContinueStage7OK	TimeOKStage7OK	TimeAllocation2555555Stage8OK	TimeAllocation1999111Stage8OK	TimeContinueStage8OK	TimeOKStage8OK	groupBeautyContest	TimeContinueBCGameOK	sumGuessPercentage	true	false	displayContinueButton	TimeSubmitBCInstructionsOK	TimeContinueBCInstructionsOK	distance	BC_winner	diffBrackets	TimeOKUGGame1OK	TimeOKUGGame2OK	TimeOKEGTaskOK	results_A1Choice	results_A2Choice	results_A3Choice	results_A1Punishment	results_A2Punishment	results_A3Punishment	prog_ug_t1	prog_ug_t2	prog_ug_accepted	TimeOKResultsOK	
140311_1026	1	subjects	1	11	1	0	0	1	2	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	1	1	1	1	34	20	20	25	15	20	67	17	0	17	0	0.1625082195561883	3	0.4366009833461609	2	1	1	10	1	5	1	3	2	-1	-1	-1	8	9	0	0	3	4.800000000000001	5	4	2	3	1	2	3	3	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	-212	0	-185	0	0	-4	2	0	0	5	13	0	4	0	14	0	0	-11	3	0	0	4	14	0	9	0	14	0	-	-	0	0	1	-62	100	1	0	0	-117	-119	22.94446045683324	0	97	-56	-42	-72	2	1	1	0	0	0	3	2	1	-42	
140311_1026	1	subjects	1	12	3	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	1	1	5	50	45	5	0	0	67	17	0	17	0	0.6654702740094952	1	0.1790824104934383	13	2	1	2	1	1	2	3	1	2	2	2	9	1	0	0	3	3.2	3	5	4	1	2	1	4	0	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-3	-177	0	0	0	-5	0	0	10	6	0	0	9	5	0	0	11	7	0	0	12	8	0	0	10	7	-	-	11	8	1	-7	100	1	0	0	-33	-35	6.055641407768566	0	67	-68	-17	-1	1	2	1	0	0	0	3	2	1	-44	
140311_1026	1	subjects	1	13	3	0	0	1	1	1	2	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	0	1	1	1	1	1	1	80	20	0	0	0	67	17	0	17	0	0.9731744993353144	3	0.3881863296908263	18	1	3	7	2	4	1	3	1	-1	-1	-1	8	9	0	0	2	6.4	3	5	4	1	2	3	1	0	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	-174	-172	0	0	11	13	0	10	0	12	0	9	0	14	0	0	10	13	0	0	10	15	0	14	0	15	0	-	-	0	0	1	-17	100	1	0	0	-46	-49	10.05561031761019	0	33	-86	-15	-34	1	2	1	0	0	0	3	2	1	-24	
140311_1026	1	subjects	1	14	2	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	1	1	20	5	20	50	5	20	67	17	0	17	0	0.321167758349873	3	0.7836809632292394	7	2	1	14	1	7	2	3	3	2	2	2	9	5	0	0	3	9.600000000000001	4	3	1	2	5	5	5	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-260	-264	0	0	-22	-26	0	0	13	10	0	0	12	9	0	0	11	8	0	0	12	8	0	0	11	5	-	-	13	9	1	-7	100	1	0	0	-29	-31	8.944538807739543	0	147	-37	-11	-19	2	2	2	0	0	0	3	2	1	-27	
140311_1026	1	subjects	1	15	3	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	1	1	1	0	60	20	10	5	5	67	17	0	17	0	0.694074912319926	1	0.9237255821580652	15	2	2	17	2	9	2	3	1	2	2	2	9	1	0	0	2	6.4	4	3	1	2	5	3	2	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-176	-184	0	0	7	0	0	0	9	2	0	0	7	-3	0	0	6	-3	0	0	10	4	0	0	12	6	-	-	7	2	1	-51	100	1	0	0	-70	-72	11.05565275993809	0	37	-50	-31	-26	1	2	1	0	0	0	3	2	1	-65	
140311_1026	1	subjects	1	16	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	1	1	74	4	15	56	20	5	67	17	0	17	0	0.3155187556126708	3	0.4843516701293884	5	2	3	12	1	6	2	3	2	2	2	2	9	1	0	0	0	0.8	2	1	5	4	3	4	4	1	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-277	-289	0	0	8	4	0	0	10	7	0	0	11	6	0	0	10	5	0	0	9	5	0	0	11	-1	-	-	12	7	1	5	100	1	0	0	-25	-27	62.94453667817469	0	129	-49	-28	-12	2	1	1	0	0	0	3	2	0	-29	
140311_1026	1	subjects	1	17	2	0	0	1	2	2	2	1	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	1	1	1	1	28	20	20	20	20	20	67	17	0	17	0	0.5588952775853199	3	0.2274807175749357	10	1	2	5	2	3	1	3	3	-1	-1	-1	8	5	0	0	2	6.4	3	5	4	1	2	3	1	0	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	-177	0	-5	0	4	0	11	0	11	0	14	0	0	9	14	0	11	0	14	0	9	0	12	0	10	0	12	0	-	-	0	0	1	6	100	1	0	0	-7	-8	16.94452213903324	0	93	-29	-23	6	2	2	2	0	0	0	3	2	1	-47	
140311_1026	1	subjects	1	18	3	0	0	1	1	2	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	1	1	1	1	1	15	30	30	25	10	5	67	17	0	17	0	0.735649160917685	3	0.3156324263269233	16	1	2	6	1	3	1	3	1	-1	-1	-1	8	9	0	0	3	6.4	4	3	1	2	5	3	2	2	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	-150	-146	0	4	0	12	0	0	-1	14	0	12	0	14	0	0	9	14	0	0	12	15	0	14	0	15	0	-	-	0	0	1	-11	100	1	0	0	-54	-55	3.944498732855704	0	87	-31	-12	-7	1	2	1	0	0	0	3	2	1	-23	
140312_1036	1	subjects	1	1	2	11.4	11.4	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	5	0	0	0	0	3	2	0	0	1	1	1	1	48	20	40	40	0	0	75	17	8	0	0	0.9092396073552033	1	0.8076405636070485	9	2	2	8	1	4	2	3	2	2	2	2	9	1	0	0	3	6.4	2	1	5	4	3	3	5	1	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-7	-38	0	0	-8	-118	0	0	-2	-19	0	0	9	-5	0	0	7	2	0	0	8	4	0	0	8	4	0	0	10	6	1	-31	100	1	0	0	-14	-17	39.2083509774846	0	110	-53	-32	-52	1	1	1	0	0	0	3	2	1	-22	
140312_1036	1	subjects	1	2	1	17	17	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	1	1	1	10	30	50	20	0	0	75	17	8	0	0	0.2494119663021583	2	0.9211157364403436	3	2	2	11	2	6	2	3	1	2	2	2	9	5	0	5	2	0	4	3	1	2	5	5	5	2	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-10	-17	0	0	10	5	0	0	11	7	0	0	5	0	0	0	8	3	0	0	10	6	0	0	12	7	-	-	10	6	1	-24	100	1	0	0	-35	-38	1.208338688954559	1	90	-34	-11	-14	2	1	2	0	0	0	3	2	1	-49	
